candidate_id,strategy,seed,bundle_size_target,n_bundles,avg_qualifiers_shown,avg_qualifier_time_seconds,total_respondents_used,all_categories_hit_target,min_completes,mean_interview_seconds,p95_interview_seconds,avg_surveys_per_respondent,share_2plus_surveys,share_3plus_surveys,max_exposure_deviation
4,random,2,25,4,19.25,28.875,7797,True,200,244.0520914660945,474.75304156774655,1.9751186353725791,0.5267410542516352,0.49082980633577017,0.007388755622188907
4,random,3,25,4,19.25,28.875,7807,True,200,243.8538051954834,473.9016242190264,1.9725887024465223,0.5270910721147688,0.48763929806583833,0.007572649572649571
5,random,1,25,4,19.25,28.875,8904,True,200,217.14012322115218,474.51919628481846,1.729559748427673,0.44654088050314467,0.4199236298292902,0.010206462824461065
5,random,2,25,4,19.25,28.875,8418,True,200,228.16300275138263,474.7686345758848,1.8294131622713234,0.4726775956284153,0.44404846756949395,0.007647020447906522
5,random,3,25,4,19.25,28.875,8383,True,200,229.09485353228425,475.0314538436942,1.8370511749970178,0.4753668137898127,0.4437552188953835,0.006477126436781611
6,random,1,25,4,19.25,28.875,7560,True,200,250.6140419525316,475.62427524710074,2.037037037037037,0.5403439153439153,0.47764550264550265,0.009604957983193278
6,random,2,25,4,19.25,28.875,8700,True,200,221.6616847311654,474.8998716054484,1.7701149425287357,0.4647126436781609,0.4152873563218391,0.007102084277299503
6,random,3,25,4,19.25,28.875,8053,True,200,237.26315126799193,475.00412869267166,1.9123308083943873,0.5066434868992922,0.4467900161430523,0.006842185686653773
7,random,1,25,4,19.25,28.875,8904,True,200,217.14012322115218,474.3712591007352,1.729559748427673,0.4577717879604672,0.413858939802336,0.010206462824461065
7,random,2,25,4,19.25,28.875,8418,True,200,228.16300275138263,474.0758948076982,1.8294131622713234,0.4827750059396531,0.4430981230696127,0.007647020447906522
7,random,3,25,4,19.25,28.875,8383,True,200,229.09485353228425,474.87030004081316,1.8370511749970178,0.4846713587021353,0.441846594297984,0.006477126436781611
8,random,1,25,4,19.25,28.875,9390,True,200,207.44932451130342,474.818078444805,1.640042598509052,0.43162939297124603,0.402555910543131,0.008934064703442556
8,random,2,25,4,19.25,28.875,7797,True,200,244.0520914660945,474.9490784914233,1.9751186353725791,0.5207130947800436,0.4839040656662819,0.007388755622188907
8,random,3,25,4,19.25,28.875,7807,True,200,243.8538051954834,475.5179529211018,1.9725887024465223,0.5203022928141412,0.4868707570129371,0.007572649572649571
9,random,1,25,4,19.25,28.875,8904,True,200,217.14012322115218,474.0671071736142,1.729559748427673,0.46282569631626236,0.4250898472596586,0.010206462824461065
9,random,2,25,4,19.25,28.875,8418,True,200,228.16300275138263,474.47999035706744,1.8294131622713234,0.48823948681397006,0.45141363744357327,0.007647020447906522
9,random,3,25,4,19.25,28.875,8383,True,200,229.09485353228425,474.3191344232764,1.8370511749970178,0.4911129667183586,0.4534176309197185,0.006477126436781611
10,random,1,25,4,19.25,28.875,7560,True,200,250.6140419525316,475.0336816299241,2.037037037037037,0.5296296296296297,0.49153439153439155,0.009604957983193278
10,random,2,25,4,19.25,28.875,8700,True,200,221.6616847311654,474.38561774091795,1.7701149425287357,0.4570114942528736,0.4264367816091954,0.007102084277299503
10,random,3,25,4,19.25,28.875,8053,True,200,237.26315126799193,475.00296274898574,1.9123308083943873,0.49546752762945484,0.45672420216068543,0.006842185686653773
11,random,1,25,4,19.25,28.875,7560,True,200,250.6140419525316,475.06645756505895,2.037037037037037,0.5343915343915344,0.49378306878306877,0.009604957983193278
11,random,2,25,4,19.25,28.875,8700,True,200,221.6616847311654,474.4397590798326,1.7701149425287357,0.46379310344827585,0.4264367816091954,0.007102084277299503
11,random,3,25,4,19.25,28.875,8053,True,200,237.26315126799193,474.38441305886954,1.9123308083943873,0.49857196075996524,0.4635539550478083,0.006842185686653773
12,random,1,25,4,19.25,28.875,9390,True,200,207.44932451130342,473.690511936089,1.640042598509052,0.43301384451544195,0.394888178913738,0.008934064703442556
12,random,2,25,4,19.25,28.875,7797,True,200,244.0520914660945,474.9609302217141,1.9751186353725791,0.5202000769526741,0.4786456329357445,0.007388755622188907
12,random,3,25,4,19.25,28.875,7807,True,200,243.8538051954834,474.9218083557207,1.9725887024465223,0.5208146535160754,0.4780325349045728,0.007572649572649571
13,random,1,25,4,19.25,28.875,9390,True,200,207.44932451130342,473.7814050918678,1.640042598509052,0.4422790202342918,0.4010649627263046,0.008934064703442556
13,random,2,25,4,19.25,28.875,7797,True,200,244.0520914660945,474.7806772403419,1.9751186353725791,0.530075670129537,0.4880082082852379,0.007388755622188907
13,random,3,25,4,19.25,28.875,7807,True,200,243.8538051954834,474.8014758329373,1.9725887024465223,0.5290124247470219,0.4861022159600359,0.007572649572649571
14,random,1,25,4,19.25,28.875,8904,True,200,217.14012322115218,474.728045931668,1.729559748427673,0.4612533692722372,0.4137466307277628,0.010206462824461065
14,random,2,25,4,19.25,28.875,8418,True,200,228.16300275138263,474.73095291818026,1.8294131622713234,0.4866951770016631,0.44392967450700876,0.007647020447906522
14,random,3,25,4,19.25,28.875,8383,True,200,229.09485353228425,475.09065802255645,1.8370511749970178,0.48968149827030893,0.4439937969700585,0.006477126436781611
15,random,1,25,4,19.25,28.875,8904,True,200,217.14012322115218,474.28331861284096,1.729559748427673,0.44564240790655885,0.412848158131177,0.010206462824461065
15,random,2,25,4,19.25,28.875,8418,True,200,228.16300275138263,473.7532449073624,1.8294131622713234,0.47719173200285103,0.440128296507484,0.007647020447906522
15,random,3,25,4,19.25,28.875,8383,True,200,229.09485353228425,474.869057765929,1.8370511749970178,0.4752475247524752,0.4412501491112967,0.006477126436781611
16,random,1,25,4,19.25,28.875,8904,True,200,217.14012322115218,474.7086335392669,1.729559748427673,0.4549640610961366,0.41543126684636117,0.010206462824461065
16,random,2,25,4,19.25,28.875,8418,True,200,228.16300275138263,474.9672482139431,1.8294131622713234,0.48194345450225706,0.4408410548823949,0.007647020447906522
16,random,3,25,4,19.25,28.875,8383,True,200,229.09485353228425,474.79008050984703,1.8370511749970178,0.483836335440773,0.4437552188953835,0.006477126436781611
17,random,1,25,4,19.25,28.875,8308,True,200,230.69573389036339,474.8230617918307,1.8536350505536832,0.4777323062108811,0.45402022147327875,0.00924799906498364
17,random,2,25,4,19.25,28.875,8589,True,200,224.16621925266492,474.7200770583004,1.7929910350448248,0.4626848294329957,0.4360228198859006,0.007346174988547871
